natural_language_query,sql_query
List all products where stock is greater than 190,SELECT * FROM products WHERE stock > 190;
Get name and count of records from customers grouped by name having count greater than 10,"SELECT name, COUNT(*) FROM customers GROUP BY name HAVING COUNT(*) > 10;"
Change salary to 90000 in employees where age is 39,UPDATE employees SET salary = '90000' WHERE age = '39';
Change order date to 2022-02-14 in orders where total amount is 2800,UPDATE orders SET order_date = ''2022-02-14'' WHERE total_amount = '2800';
"Add a new record to the products with values Laptop, 2000, 40","INSERT INTO products (name, price, stock) VALUES ('Laptop', 2000, 40);"
Get signup date and count of records from customers grouped by signup date having count greater than 1,"SELECT signup_date, COUNT(*) FROM customers GROUP BY signup_date HAVING COUNT(*) > 1;"
Change total amount to 2900 in orders where customer id is 31,UPDATE orders SET total_amount = '2900' WHERE customer_id = '31';
Get total amount and count of records from orders grouped by total amount having count greater than 9,"SELECT total_amount, COUNT(*) FROM orders GROUP BY total_amount HAVING COUNT(*) > 9;"
Get the total order id from order items,SELECT SUM(order_id) FROM order_items;
Get product id and count of records from order items grouped by product id having count greater than 3,"SELECT product_id, COUNT(*) FROM order_items GROUP BY product_id HAVING COUNT(*) > 3;"
List all products where price is greater than 1300,SELECT * FROM products WHERE price > 1300;
Change total amount to 950 in orders where total amount is 950,UPDATE orders SET total_amount = '950' WHERE total_amount = '950';
List all products,SELECT * FROM products;
Get department and count of records from employees grouped by department having count greater than 7,"SELECT department, COUNT(*) FROM employees GROUP BY department HAVING COUNT(*) > 7;"
Remove records from products where price is less than 500,DELETE FROM products WHERE price < 500;
"Add a new record to the orders with values 22, 4150, 2022-04-25","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (22, 4150, '2022-04-25');"
Get name and count of records from products grouped by name having count greater than 5,"SELECT name, COUNT(*) FROM products GROUP BY name HAVING COUNT(*) > 5;"
"Add a new record to the employees with values Carol King, 53, Sales, 95000","INSERT INTO employees (name, age, department, salary) VALUES ('Carol King', 53, 'Sales', 95000);"
"Add a new record to the products with values Smartphone, 1400, 90","INSERT INTO products (name, price, stock) VALUES ('Smartphone', 1400, 90);"
Get name and count of records from products grouped by name having count greater than 2,"SELECT name, COUNT(*) FROM products GROUP BY name HAVING COUNT(*) > 2;"
Change salary to 75000 in employees where age is 53,UPDATE employees SET salary = '75000' WHERE age = '53';
List all order items where order id is greater than 15,SELECT * FROM order_items WHERE order_id > 15;
"Add a new record to the orders with values 12, 4850, 2022-04-25","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (12, 4850, '2022-04-25');"
List all order items where order id is greater than 73,SELECT * FROM order_items WHERE order_id > 73;
Change stock to 370 in products where stock is 160,UPDATE products SET stock = '370' WHERE stock = '160';
List all order items where product id is greater than 18,SELECT * FROM order_items WHERE product_id > 18;
Remove records from products where stock is less than 30,DELETE FROM products WHERE stock < 30;
"Add a new record to the employees with values Bob Lee, 58, Finance, 110000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 58, 'Finance', 110000);"
Change salary to 110000 in employees where id is 1,UPDATE employees SET salary = '110000' WHERE id = '1';
Change total amount to 3750 in orders where id is 1,UPDATE orders SET total_amount = '3750' WHERE id = '1';
Change age to 48 in employees where age is 27,UPDATE employees SET age = '48' WHERE age = '27';
"Add a new record to the orders with values 27, 500, 2022-03-20","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (27, 500, '2022-03-20');"
Change name to Bob Lee in employees where name is John Doe,UPDATE employees SET name = 'Bob' Lee WHERE name = 'John' Doe;
Change total amount to 2000 in orders where total amount is 600,UPDATE orders SET total_amount = '2000' WHERE total_amount = '600';
"Add a new record to the employees with values Carol King, 54, Sales, 60000","INSERT INTO employees (name, age, department, salary) VALUES ('Carol King', 54, 'Sales', 60000);"
Remove records from products where price is less than 1200,DELETE FROM products WHERE price < 1200;
List all customers where email is greater than helen.martin@example.com,SELECT * FROM customers WHERE email > helen.martin@example.com;
"Add a new record to the products with values Smartphone, 1800, 250","INSERT INTO products (name, price, stock) VALUES ('Smartphone', 1800, 250);"
Change price to 400 in products where stock is 180,UPDATE products SET price = '400' WHERE stock = '180';
Change name to Desk Chair in products where stock is 430,UPDATE products SET name = 'Desk' Chair WHERE stock = '430';
Change salary to 95000 in employees where salary is 115000,UPDATE employees SET salary = '95000' WHERE salary = '115000';
Change age to 32 in employees where id is 1,UPDATE employees SET age = '32' WHERE id = '1';
"Add a new record to the employees with values Jane Smith, 28, Sales, 35000","INSERT INTO employees (name, age, department, salary) VALUES ('Jane Smith', 28, 'Sales', 35000);"
Get the total total amount from orders,SELECT SUM(total_amount) FROM orders;
"Add a new record to the customers with values Grace Lee, emma.wilson@example.com, 2021-01-15","INSERT INTO customers (name, email, signup_date) VALUES ('Grace Lee', 'emma.wilson@example.com', '2021-01-15');"
Remove records from employees where salary is less than 85000,DELETE FROM employees WHERE salary < 85000;
Remove records from products where stock is less than 430,DELETE FROM products WHERE stock < 430;
"Add a new record to the products with values Smartphone, 500, 100","INSERT INTO products (name, price, stock) VALUES ('Smartphone', 500, 100);"
"Add a new record to the orders with values 10, 3100, 2022-01-10","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (10, 3100, '2022-01-10');"
Get age and count of records from employees grouped by age having count greater than 10,"SELECT age, COUNT(*) FROM employees GROUP BY age HAVING COUNT(*) > 10;"
Change salary to 85000 in employees where salary is 50000,UPDATE employees SET salary = '85000' WHERE salary = '50000';
Get price and count of records from products grouped by price having count greater than 6,"SELECT price, COUNT(*) FROM products GROUP BY price HAVING COUNT(*) > 6;"
List all orders where customer id is greater than 42,SELECT * FROM orders WHERE customer_id > 42;
"Add a new record to the customers with values Helen Martin, david.brown@example.com, 2021-11-05","INSERT INTO customers (name, email, signup_date) VALUES ('Helen Martin', 'david.brown@example.com', '2021-11-05');"
Change order date to 2022-05-30 in orders where total amount is 4400,UPDATE orders SET order_date = '2022-05-30' WHERE total_amount = '4400';
List all products where stock is greater than 100,SELECT * FROM products WHERE stock > 100;
List all employees sorted by salary,SELECT * FROM employees ORDER BY salary;
Change name to Laptop in products where name is Laptop,UPDATE products SET name = 'Laptop' WHERE name = 'Laptop';
"Add a new record to the products with values Desk Chair, 1900, 190","INSERT INTO products (name, price, stock) VALUES ('Desk Chair', 1900, 190);"
List all employees where age is greater than 58,SELECT * FROM employees WHERE age > 58;
"Add a new record to the customers with values David Brown, david.brown@example.com, 2021-01-15","INSERT INTO customers (name, email, signup_date) VALUES ('David Brown', 'david.brown@example.com', '2021-01-15');"
Get order id and count of records from order items grouped by order id having count greater than 1,"SELECT order_id, COUNT(*) FROM order_items GROUP BY order_id HAVING COUNT(*) > 1;"
Change customer id to 24 in orders where id is 1,UPDATE orders SET customer_id = '24' WHERE id = '1';
List all employees where age is greater than 26,SELECT * FROM employees WHERE age > 26;
Get email and count of records from customers grouped by email having count greater than 3,"SELECT email, COUNT(*) FROM customers GROUP BY email HAVING COUNT(*) > 3;"
Get department and count of records from employees grouped by department having count greater than 4,"SELECT department, COUNT(*) FROM employees GROUP BY department HAVING COUNT(*) > 4;"
"Add a new record to the products with values Smartphone, 1900, 470","INSERT INTO products (name, price, stock) VALUES ('Smartphone', 1900, 470);"
Remove records from orders where customer id is less than 8,DELETE FROM orders WHERE customer_id < 8;
"Add a new record to the products with values Desk Chair, 1700, 400","INSERT INTO products (name, price, stock) VALUES ('Desk Chair', 1700, 400);"
Change customer id to 27 in orders where total amount is 550,UPDATE orders SET customer_id = '27' WHERE total_amount = '550';
Get salary and count of records from employees grouped by salary having count greater than 6,"SELECT salary, COUNT(*) FROM employees GROUP BY salary HAVING COUNT(*) > 6;"
"Add a new record to the orders with values 32, 950, 2022-03-20","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (32, 950, '2022-03-20');"
"Add a new record to the orders with values 44, 4550, 2022-01-10","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (44, 4550, '2022-01-10');"
Change total amount to 3250 in orders where id is 1,UPDATE orders SET total_amount = '3250' WHERE id = '1';
Change salary to 75000 in employees where department is Finance,UPDATE employees SET salary = '75000' WHERE department = 'Finance';
"Add a new record to the employees with values Bob Lee, 43, HR, 55000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 43, 'HR', 55000);"
"Add a new record to the customers with values Frank Harris, emma.wilson@example.com, 2022-03-10","INSERT INTO customers (name, email, signup_date) VALUES ('Frank Harris', 'emma.wilson@example.com', '2022-03-10');"
List all employees where age is greater than 38,SELECT * FROM employees WHERE age > 38;
"Add a new record to the products with values Desk Chair, 800, 320","INSERT INTO products (name, price, stock) VALUES ('Desk Chair', 800, 320);"
"Add a new record to the customers with values Grace Lee, david.brown@example.com, 2020-07-23","INSERT INTO customers (name, email, signup_date) VALUES ('Grace Lee', 'david.brown@example.com', '2020-07-23');"
Change stock to 210 in products where name is Desk Chair,UPDATE products SET stock = '210' WHERE name = 'Desk' Chair;
Change age to 26 in employees where id is 1,UPDATE employees SET age = '26' WHERE id = '1';
Change name to Desk Chair in products where stock is 110,UPDATE products SET name = 'Desk' Chair WHERE stock = '110';
"Add a new record to the customers with values Frank Harris, grace.lee@example.com, 2022-03-10","INSERT INTO customers (name, email, signup_date) VALUES ('Frank Harris', 'grace.lee@example.com', '2022-03-10');"
Get name and count of records from customers grouped by name having count greater than 1,"SELECT name, COUNT(*) FROM customers GROUP BY name HAVING COUNT(*) > 1;"
Remove records from products where stock is less than 450,DELETE FROM products WHERE stock < 450;
Remove records from products where stock is less than 180,DELETE FROM products WHERE stock < 180;
"Add a new record to the employees with values John Doe, 59, Sales, 80000","INSERT INTO employees (name, age, department, salary) VALUES ('John Doe', 59, 'Sales', 80000);"
"Add a new record to the products with values Desk Chair, 1800, 280","INSERT INTO products (name, price, stock) VALUES ('Desk Chair', 1800, 280);"
List all orders where customer id is greater than 35,SELECT * FROM orders WHERE customer_id > 35;
Get stock and count of records from products grouped by stock having count greater than 1,"SELECT stock, COUNT(*) FROM products GROUP BY stock HAVING COUNT(*) > 1;"
Get order id and count of records from order items grouped by order id having count greater than 8,"SELECT order_id, COUNT(*) FROM order_items GROUP BY order_id HAVING COUNT(*) > 8;"
List all orders where total amount is greater than 4200,SELECT * FROM orders WHERE total_amount > 4200;
Change department to Sales in employees where department is Sales,UPDATE employees SET department = 'Sales' WHERE department = 'Sales';
Get quantity and count of records from order items grouped by quantity having count greater than 5,"SELECT quantity, COUNT(*) FROM order_items GROUP BY quantity HAVING COUNT(*) > 5;"
Remove records from products where stock is less than 310,DELETE FROM products WHERE stock < 310;
List all orders where customer id is greater than 22,SELECT * FROM orders WHERE customer_id > 22;
Remove records from products where price is less than 1100,DELETE FROM products WHERE price < 1100;
List all order items where order id is greater than 22,SELECT * FROM order_items WHERE order_id > 22;
Get order date and count of records from orders grouped by order date having count greater than 6,"SELECT order_date, COUNT(*) FROM orders GROUP BY order_date HAVING COUNT(*) > 6;"
List all products where stock is greater than 480,SELECT * FROM products WHERE stock > 480;
Get price and count of records from products grouped by price having count greater than 2,"SELECT price, COUNT(*) FROM products GROUP BY price HAVING COUNT(*) > 2;"
Get order date and count of records from orders grouped by order date having count greater than 1,"SELECT order_date, COUNT(*) FROM orders GROUP BY order_date HAVING COUNT(*) > 1;"
"Add a new record to the customers with values Grace Lee, helen.martin@example.com, 2021-01-15","INSERT INTO customers (name, email, signup_date) VALUES ('Grace Lee', 'helen.martin@example.com', '2021-01-15');"
Get stock and count of records from products grouped by stock having count greater than 2,"SELECT stock, COUNT(*) FROM products GROUP BY stock HAVING COUNT(*) > 2;"
List all employees where age is greater than 57,SELECT * FROM employees WHERE age > 57;
List all orders where order date is greater than 2022-01-10,SELECT * FROM orders WHERE order_date > 2022-01-10;
Change stock to 370 in products where price is 1500,UPDATE products SET stock = '370' WHERE price = '1500';
List all customers,SELECT * FROM customers;
Get the total department from employees,SELECT SUM(department) FROM employees;
"Add a new record to the orders with values 44, 4350, 2022-04-25","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (44, 4350, '2022-04-25');"
"Add a new record to the customers with values David Brown, frank.harris@example.com, 2020-07-23","INSERT INTO customers (name, email, signup_date) VALUES ('David Brown', 'frank.harris@example.com', '2020-07-23');"
"Add a new record to the employees with values Carol King, 49, Engineering, 95000","INSERT INTO employees (name, age, department, salary) VALUES ('Carol King', 49, 'Engineering', 95000);"
List all order items where order id is greater than 52,SELECT * FROM order_items WHERE order_id > 52;
"Add a new record to the customers with values Emma Wilson, emma.wilson@example.com, 2020-07-23","INSERT INTO customers (name, email, signup_date) VALUES ('Emma Wilson', 'emma.wilson@example.com', '2020-07-23');"
Change salary to 75000 in employees where department is Sales,UPDATE employees SET salary = '75000' WHERE department = 'Sales';
Change salary to 100000 in employees where name is Jane Smith,UPDATE employees SET salary = '100000' WHERE name = 'Jane' Smith;
List all orders where customer id is greater than 13,SELECT * FROM orders WHERE customer_id > 13;
"Add a new record to the employees with values Bob Lee, 27, Sales, 80000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 27, 'Sales', 80000);"
"Add a new record to the employees with values Jane Smith, 53, Sales, 40000","INSERT INTO employees (name, age, department, salary) VALUES ('Jane Smith', 53, 'Sales', 40000);"
"Add a new record to the employees with values Bob Lee, 37, Marketing, 115000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 37, 'Marketing', 115000);"
List all order items where quantity is greater than 5,SELECT * FROM order_items WHERE quantity > 5;
Remove records from employees where department is less than Sales,DELETE FROM employees WHERE department < Sales;
Get salary and count of records from employees grouped by salary having count greater than 1,"SELECT salary, COUNT(*) FROM employees GROUP BY salary HAVING COUNT(*) > 1;"
Change total amount to 3000 in orders where order date is 2022-04-25,UPDATE orders SET total_amount = '3000' WHERE order_date = '2022-04-25';
Remove records from products where stock is less than 110,DELETE FROM products WHERE stock < 110;
Remove records from products where name is less than Smartphone,DELETE FROM products WHERE name < Smartphone;
List all products where stock is greater than 490,SELECT * FROM products WHERE stock > 490;
"Add a new record to the employees with values Bob Lee, 32, Finance, 85000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 32, 'Finance', 85000);"
List all customers where email is greater than grace.lee@example.com,SELECT * FROM customers WHERE email > grace.lee@example.com;
List all employees where age is greater than 45,SELECT * FROM employees WHERE age > 45;
Remove records from employees where salary is less than 50000,DELETE FROM employees WHERE salary < 50000;
List all orders where total amount is greater than 1200,SELECT * FROM orders WHERE total_amount > 1200;
List all order items where order id is greater than 57,SELECT * FROM order_items WHERE order_id > 57;
List all employees sorted by age,SELECT * FROM employees ORDER BY age;
Change name to Laptop in products where price is 200,UPDATE products SET name = 'Laptop' WHERE price = '200';
"Add a new record to the employees with values Carol King, 47, HR, 65000","INSERT INTO employees (name, age, department, salary) VALUES ('Carol King', 47, 'HR', 65000);"
Change customer id to 26 in orders where id is 1,UPDATE orders SET customer_id = '26' WHERE id = '1';
Get price and count of records from products grouped by price having count greater than 4,"SELECT price, COUNT(*) FROM products GROUP BY price HAVING COUNT(*) > 4;"
"Add a new record to the employees with values Bob Lee, 48, Sales, 85000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 48, 'Sales', 85000);"
Change stock to 200 in products where stock is 320,UPDATE products SET stock = '200' WHERE stock = '320';
Remove records from products where stock is less than 190,DELETE FROM products WHERE stock < 190;
Change total amount to 2700 in orders where customer id is 31,UPDATE orders SET total_amount = '2700' WHERE customer_id = '31';
Get the total stock from products,SELECT SUM(stock) FROM products;
List all order items where order id is greater than 80,SELECT * FROM order_items WHERE order_id > 80;
Get total amount and count of records from orders grouped by total amount having count greater than 7,"SELECT total_amount, COUNT(*) FROM orders GROUP BY total_amount HAVING COUNT(*) > 7;"
Remove records from orders where total amount is less than 350,DELETE FROM orders WHERE total_amount < 350;
List all order items where quantity is greater than 10,SELECT * FROM order_items WHERE quantity > 10;
"Add a new record to the employees with values Carol King, 38, HR, 80000","INSERT INTO employees (name, age, department, salary) VALUES ('Carol King', 38, 'HR', 80000);"
Change total amount to 4500 in orders where total amount is 4250,UPDATE orders SET total_amount = '4500' WHERE total_amount = '4250';
List all orders where total amount is greater than 300,SELECT * FROM orders WHERE total_amount > 300;
Get stock and count of records from products grouped by stock having count greater than 3,"SELECT stock, COUNT(*) FROM products GROUP BY stock HAVING COUNT(*) > 3;"
Change name to Monitor in products where name is Keyboard,UPDATE products SET name = 'Monitor' WHERE name = 'Keyboard';
"Add a new record to the products with values Monitor, 1700, 490","INSERT INTO products (name, price, stock) VALUES ('Monitor', 1700, 490);"
Remove records from orders where customer id is less than 38,DELETE FROM orders WHERE customer_id < 38;
List all products sorted by price,SELECT * FROM products ORDER BY price;
Change age to 50 in employees where name is Alice Johnson,UPDATE employees SET age = '50' WHERE name = 'Alice' Johnson;
"Add a new record to the employees with values Bob Lee, 33, HR, 55000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 33, 'HR', 55000);"
List all order items where order id is greater than 83,SELECT * FROM order_items WHERE order_id > 83;
Remove records from employees where name is less than Alice Johnson,DELETE FROM employees WHERE name < Alice Johnson;
Change price to 200 in products where id is 1,UPDATE products SET price = '200' WHERE id = '1';
List all orders where customer id is greater than 36,SELECT * FROM orders WHERE customer_id > 36;
Change name to Keyboard in products where stock is 40,UPDATE products SET name = 'Keyboard' WHERE stock = '40';
List all orders sorted by total amount,SELECT * FROM orders ORDER BY total_amount;
Change name to Monitor in products where price is 1400,UPDATE products SET name = 'Monitor' WHERE price = '1400';
Remove records from products where price is less than 1700,DELETE FROM products WHERE price < 1700;
"Add a new record to the customers with values Grace Lee, emma.wilson@example.com, 2020-07-23","INSERT INTO customers (name, email, signup_date) VALUES ('Grace Lee', 'emma.wilson@example.com', '2020-07-23');"
List all employees where age is greater than 30,SELECT * FROM employees WHERE age > 30;
"Add a new record to the orders with values 32, 2600, 2022-04-25","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (32, 2600, '2022-04-25');"
"Add a new record to the products with values Laptop, 200, 490","INSERT INTO products (name, price, stock) VALUES ('Laptop', 200, 490);"
Remove records from orders where customer id is less than 5,DELETE FROM orders WHERE customer_id < 5;
"Add a new record to the orders with values 41, 4250, 2022-04-25","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (41, 4250, '2022-04-25');"
"Add a new record to the products with values Keyboard, 900, 70","INSERT INTO products (name, price, stock) VALUES ('Keyboard', 900, 70);"
"Add a new record to the orders with values 5, 4900, 2022-05-30","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (5, 4900, '2022-05-30');"
List all orders where customer id is greater than 37,SELECT * FROM orders WHERE customer_id > 37;
List all order items sorted by quantity,SELECT * FROM order_items ORDER BY quantity;
"Add a new record to the products with values Desk Chair, 1500, 60","INSERT INTO products (name, price, stock) VALUES ('Desk Chair', 1500, 60);"
Get the total product id from order items,SELECT SUM(product_id) FROM order_items;
Get quantity and count of records from order items grouped by quantity having count greater than 6,"SELECT quantity, COUNT(*) FROM order_items GROUP BY quantity HAVING COUNT(*) > 6;"
List all orders where total amount is greater than 50,SELECT * FROM orders WHERE total_amount > 50;
List all products where stock is greater than 370,SELECT * FROM products WHERE stock > 370;
Change customer id to 4 in orders where id is 1,UPDATE orders SET customer_id = '4' WHERE id = '1';
"Add a new record to the orders with values 32, 3800, 2022-04-25","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (32, 3800, '2022-04-25');"
"Add a new record to the employees with values Jane Smith, 33, HR, 85000","INSERT INTO employees (name, age, department, salary) VALUES ('Jane Smith', 33, 'HR', 85000);"
List all orders where customer id is greater than 17,SELECT * FROM orders WHERE customer_id > 17;
List all order items where quantity is greater than 7,SELECT * FROM order_items WHERE quantity > 7;
Change age to 45 in employees where name is Bob Lee,UPDATE employees SET age = '45' WHERE name = 'Bob' Lee;
Change age to 45 in employees where age is 40,UPDATE employees SET age = '45' WHERE age = '40';
Remove records from orders where total amount is less than 2900,DELETE FROM orders WHERE total_amount < 2900;
Get email and count of records from customers grouped by email having count greater than 8,"SELECT email, COUNT(*) FROM customers GROUP BY email HAVING COUNT(*) > 8;"
Change price to 300 in products where price is 1700,UPDATE products SET price = '300' WHERE price = '1700';
Get order date and count of records from orders grouped by order date having count greater than 7,"SELECT order_date, COUNT(*) FROM orders GROUP BY order_date HAVING COUNT(*) > 7;"
List all products where name is greater than Monitor,SELECT * FROM products WHERE name > Monitor;
"Add a new record to the orders with values 16, 3000, 2022-05-30","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (16, 3000, '2022-05-30');"
"Add a new record to the orders with values 26, 1800, 2022-02-14","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (26, 1800, '2022-02-14');"
"Add a new record to the employees with values Bob Lee, 56, Engineering, 30000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 56, 'Engineering', 30000);"
"Add a new record to the employees with values Bob Lee, 32, Engineering, 60000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 32, 'Engineering', 60000);"
List all order items where product id is greater than 3,SELECT * FROM order_items WHERE product_id > 3;
"Add a new record to the employees with values Alice Johnson, 33, Sales, 85000","INSERT INTO employees (name, age, department, salary) VALUES ('Alice Johnson', 33, 'Sales', 85000);"
"Add a new record to the products with values Laptop, 200, 470","INSERT INTO products (name, price, stock) VALUES ('Laptop', 200, 470);"
Change order date to 2022-03-20 in orders where order date is 2022-03-20,UPDATE orders SET order_date = '2022-03-20' WHERE order_date = '2022-03-20';
Remove records from employees where name is less than Jane Smith,DELETE FROM employees WHERE name < Jane Smith;
Change age to 58 in employees where salary is 65000,UPDATE employees SET age = '58' WHERE salary = '65000';
List all employees where age is greater than 35,SELECT * FROM employees WHERE age > 35;
Get signup date and count of records from customers grouped by signup date having count greater than 10,"SELECT signup_date, COUNT(*) FROM customers GROUP BY signup_date HAVING COUNT(*) > 10;"
"Add a new record to the orders with values 33, 2450, 2022-04-25","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (33, 2450, '2022-04-25');"
"Add a new record to the customers with values Emma Wilson, frank.harris@example.com, 2020-12-30","INSERT INTO customers (name, email, signup_date) VALUES ('Emma Wilson', 'frank.harris@example.com', '2020-12-30');"
"Add a new record to the customers with values Emma Wilson, helen.martin@example.com, 2021-01-15","INSERT INTO customers (name, email, signup_date) VALUES ('Emma Wilson', 'helen.martin@example.com', '2021-01-15');"
Change total amount to 3200 in orders where total amount is 3500,UPDATE orders SET total_amount = '3200' WHERE total_amount = '3500';
Remove records from products where stock is less than 10,DELETE FROM products WHERE stock < 10;
Change name to Laptop in products where name is Desk Chair,UPDATE products SET name = 'Laptop' WHERE name = 'Desk' Chair;
"Add a new record to the customers with values Frank Harris, emma.wilson@example.com, 2021-01-15","INSERT INTO customers (name, email, signup_date) VALUES ('Frank Harris', 'emma.wilson@example.com', '2021-01-15');"
List all orders where customer id is greater than 21,SELECT * FROM orders WHERE customer_id > 21;
Get order id and count of records from order items grouped by order id having count greater than 4,"SELECT order_id, COUNT(*) FROM order_items GROUP BY order_id HAVING COUNT(*) > 4;"
Remove records from products where name is less than Monitor,DELETE FROM products WHERE name < Monitor;
Get name and count of records from customers grouped by name having count greater than 4,"SELECT name, COUNT(*) FROM customers GROUP BY name HAVING COUNT(*) > 4;"
Get price and count of records from products grouped by price having count greater than 7,"SELECT price, COUNT(*) FROM products GROUP BY price HAVING COUNT(*) > 7;"
Remove records from orders where total amount is less than 4500,DELETE FROM orders WHERE total_amount < 4500;
Get order date and count of records from orders grouped by order date having count greater than 10,"SELECT order_date, COUNT(*) FROM orders GROUP BY order_date HAVING COUNT(*) > 10;"
"Add a new record to the employees with values Bob Lee, 57, Marketing, 115000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 57, 'Marketing', 115000);"
List all orders where customer id is greater than 11,SELECT * FROM orders WHERE customer_id > 11;
Change name to Alice Johnson in employees where name is Bob Lee,UPDATE employees SET name = 'Alice' Johnson WHERE name = 'Bob' Lee;
List all products where stock is greater than 460,SELECT * FROM products WHERE stock > 460;
List all products where price is greater than 1100,SELECT * FROM products WHERE price > 1100;
List all order items where order id is greater than 59,SELECT * FROM order_items WHERE order_id > 59;
Remove records from orders where order date is less than 2022-05-30,DELETE FROM orders WHERE order_date < 2022-05-30;
"Add a new record to the customers with values Grace Lee, david.brown@example.com, 2022-03-10","INSERT INTO customers (name, email, signup_date) VALUES ('Grace Lee', 'david.brown@example.com', '2022-03-10');"
List all customers sorted by name,SELECT * FROM customers ORDER BY name;
List all customers where email is greater than david.brown@example.com,SELECT * FROM customers WHERE email > david.brown@example.com;
Remove records from products where stock is less than 230,DELETE FROM products WHERE stock < 230;
Change customer id to 13 in orders where total amount is 700,UPDATE orders SET customer_id = '13' WHERE total_amount = '700';
"Add a new record to the employees with values Alice Johnson, 34, Finance, 40000","INSERT INTO employees (name, age, department, salary) VALUES ('Alice Johnson', 34, 'Finance', 40000);"
Get name and count of records from customers grouped by name having count greater than 3,"SELECT name, COUNT(*) FROM customers GROUP BY name HAVING COUNT(*) > 3;"
"Add a new record to the employees with values Alice Johnson, 38, HR, 55000","INSERT INTO employees (name, age, department, salary) VALUES ('Alice Johnson', 38, 'HR', 55000);"
Change customer id to 31 in orders where total amount is 1500,UPDATE orders SET customer_id = '31' WHERE total_amount = '1500';
Get age and count of records from employees grouped by age having count greater than 1,"SELECT age, COUNT(*) FROM employees GROUP BY age HAVING COUNT(*) > 1;"
"Add a new record to the products with values Laptop, 400, 90","INSERT INTO products (name, price, stock) VALUES ('Laptop', 400, 90);"
Get name and count of records from products grouped by name having count greater than 1,"SELECT name, COUNT(*) FROM products GROUP BY name HAVING COUNT(*) > 1;"
"Add a new record to the orders with values 19, 600, 2022-03-20","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (19, 600, '2022-03-20');"
Change order date to 2022-05-30 in orders where order date is 2022-04-25,UPDATE orders SET order_date = '2022-05-30' WHERE order_date = '2022-04-25';
"Add a new record to the employees with values Bob Lee, 48, Finance, 95000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 48, 'Finance', 95000);"
Change age to 56 in employees where name is Jane Smith,UPDATE employees SET age = '56' WHERE name = 'Jane' Smith;
"Add a new record to the orders with values 1, 1050, 2022-04-25","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (1, 1050, '2022-04-25');"
Change order date to 2022-01-10 in orders where id is 1,UPDATE orders SET order_date = '2022-01-10' WHERE id = '1';
List all employees where salary is greater than 35000,SELECT * FROM employees WHERE salary > 35000;
List all order items where product id is greater than 11,SELECT * FROM order_items WHERE product_id > 11;
"Add a new record to the customers with values Frank Harris, helen.martin@example.com, 2021-01-15","INSERT INTO customers (name, email, signup_date) VALUES ('Frank Harris', 'helen.martin@example.com', '2021-01-15');"
Get stock and count of records from products grouped by stock having count greater than 10,"SELECT stock, COUNT(*) FROM products GROUP BY stock HAVING COUNT(*) > 10;"
Remove records from orders where total amount is less than 1850,DELETE FROM orders WHERE total_amount < 1850;
"Add a new record to the orders with values 9, 4200, 2022-02-14","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (9, 4200, '2022-02-14');"
Remove records from orders where total amount is less than 1150,DELETE FROM orders WHERE total_amount < 1150;
Change total amount to 4900 in orders where total amount is 4100,UPDATE orders SET total_amount = '4900' WHERE total_amount = '4100';
List all products where stock is greater than 440,SELECT * FROM products WHERE stock > 440;
"Add a new record to the products with values Laptop, 1800, 20","INSERT INTO products (name, price, stock) VALUES ('Laptop', 1800, 20);"
List all order items where order id is greater than 87,SELECT * FROM order_items WHERE order_id > 87;
Remove records from products where price is less than 1800,DELETE FROM products WHERE price < 1800;
Remove records from products where stock is less than 420,DELETE FROM products WHERE stock < 420;
"Add a new record to the employees with values Carol King, 35, Engineering, 100000","INSERT INTO employees (name, age, department, salary) VALUES ('Carol King', 35, 'Engineering', 100000);"
